model,k,threshold,precision_ext,recall_ext,f1_ext
pca8_knn_distance,9,0.05,1.0,0.0112,0.022151898734177212
pca16_knn_distance,9,0.05,1.0,0.0092,0.018232263178755446
pca12_knn_distance,9,0.05,1.0,0.0088,0.01744647105471848
knn_distance,9,0.05,1.0,0.0032,0.006379585326953748
knn_distance,15,0.05,1.0,0.0032,0.006379585326953748
knn_uniform,9,0.05,1.0,0.0032,0.006379585326953748
knn_uniform,15,0.05,1.0,0.0032,0.006379585326953748
knn_distance,5,0.05,1.0,0.0028,0.005584363781412046
knn_uniform,5,0.05,1.0,0.0028,0.005584363781412046
knn_uniform,3,0.05,1.0,0.0024,0.004788507581803671
knn_distance,3,0.05,1.0,0.0024,0.004788507581803671
