threshold,precision,recall,f1,tp,tn,fp,fn
0.05,0.0016929558006106094,1.0,0.0033801890904933073,473,4333,278920,0
0.1,0.0020693472988647147,0.9957716701902748,0.004130111670853775,471,56116,227137,2
0.15000000000000002,0.0036931169434535763,0.9915433403805497,0.007358825098457629,469,156729,126524,4
0.2,0.006660594329955596,0.9894291754756871,0.013232113321175624,468,213457,69796,5
0.25,0.010761259465922678,0.9704016913319239,0.021286462922598896,459,241059,42194,14
0.3,0.01584075138431345,0.9556025369978859,0.031164891233150617,452,255171,28082,21
0.35000000000000003,0.024066209299793095,0.9344608879492601,0.04692393439142205,442,265329,17924,31
0.4,0.03526366871562601,0.9217758985200846,0.06792864376411933,436,271325,11928,37
0.45,0.047844780068349683,0.9175475687103594,0.0909471919530595,434,274616,8637,39
0.5,0.059880239520958084,0.9090909090909091,0.11235955056179775,430,276502,6751,43
0.55,0.07165578436296668,0.904862579281184,0.13279553211293824,428,277708,5545,45
0.6000000000000001,0.08790979327625809,0.8900634249471459,0.16001520334473582,421,278885,4368,52
0.6500000000000001,0.11022787493375728,0.879492600422833,0.19590299034612668,416,279895,3358,57
0.7000000000000001,0.12750849027477618,0.8731501057082452,0.22252155172413796,413,280427,2826,60
0.7500000000000001,0.15075562108367122,0.864693446088795,0.2567482736974263,409,280949,2304,64
0.8,0.21799678628816282,0.8604651162790697,0.3478632478632478,407,281793,1460,66
0.8500000000000001,0.39509803921568626,0.8520084566596194,0.5398526456798391,403,282636,617,70
0.9000000000000001,0.5284015852047557,0.8456659619450317,0.6504065040650407,400,282896,357,73
0.9500000000000001,0.6219709208400647,0.813953488372093,0.7051282051282052,385,283019,234,88
