threshold,tp,tn,fp,fn,accuracy,precision,recall,f1,cost_fp1_fn5,cost_fp1_fn10,cost_fp1_fn20
0.01,473,322,282931,0,0.0028019991118191493,0.0016689954975935414,1.0,0.0033324291858798003,282931,282931,282931
0.02,473,766,282487,0,0.00436688918181626,0.001671614362454057,1.0,0.0033376494621303802,282487,282487,282487
0.03,473,1422,281831,0,0.006678979014965143,0.001675498753117207,1.0,0.0033453923055976973,281831,281831,281831
0.04,473,2514,280739,0,0.01052776270063371,0.001682005035346998,1.0,0.003358361290093544,280739,280739,280739
0.05,473,4272,278981,0,0.016723881491297943,0.0016925862574878156,1.0,0.0033794525001161015,278981,278981,278981
0.060000000000000005,473,7570,275683,0,0.028347772146366565,0.0017128000115876534,1.0,0.003419742687859914,275683,275683,275683
0.06999999999999999,473,13677,269576,0,0.04987205966319618,0.0017515339808701384,1.0,0.0034969429473388483,269576,269576,269576
0.08,473,23030,260223,0,0.08283696242149116,0.00181437383005493,1.0,0.003622175679349387,260223,260223,260223
0.09,472,36963,246290,1,0.1319406751584275,0.0019127742521133724,0.9978858350951374,0.0038182296195926955,246295,246300,246310
0.09999999999999999,471,56285,226968,2,0.20003806489359452,0.0020708849405774734,0.9957716701902748,0.004133174207588894,226978,226988,227008
0.11,471,79244,204009,2,0.28095768452662073,0.0023034037558685447,0.9957716701902748,0.004596175708577089,204019,204029,204049
0.12,471,102089,181164,2,0.3614755080605937,0.0025931125609051117,0.9957716701902748,0.005172754629121181,181174,181184,181204
0.13,470,122854,160399,3,0.4346587905232513,0.0029216318868147376,0.9936575052854123,0.005826133306888474,160414,160429,160459
0.14,470,140731,142522,3,0.4976667630037431,0.003286897169072396,0.9936575052854123,0.006552120726309553,142537,142552,142582
0.15000000000000002,469,156729,126524,4,0.5540486243770398,0.0036931169434535763,0.9915433403805497,0.007358825098457629,126544,126564,126604
0.16,469,170868,112385,4,0.6038819142412045,0.004155811934003225,0.9915433403805497,0.008276933122733329,112405,112425,112465
0.17,469,183537,99716,4,0.6485341491438924,0.0046813395218845135,0.9915433403805497,0.009318683065429474,99736,99756,99796
0.18000000000000002,469,194845,88408,4,0.6883895025482332,0.005276955792837292,0.9915433403805497,0.010498041410184667,88428,88448,88488
0.19,469,204962,78291,4,0.7240471440756222,0.00595479939055358,0.9915433403805497,0.01183850163442,78311,78331,78371
0.2,467,213542,69711,6,0.7542805382657917,0.006654507110490467,0.9873150105708245,0.013219911961614133,69741,69771,69831
0.21000000000000002,465,221054,62199,8,0.7807497374227247,0.0074205285331290696,0.9830866807610994,0.014729873133028178,62239,62279,62359
0.22,464,227349,55904,9,0.8029331115230892,0.00823162077774624,0.9809725158562368,0.01632624338065833,55949,55994,56084
0.23,464,232647,50606,9,0.8216060565475142,0.009085568827100059,0.9809725158562368,0.018004384688512502,50651,50696,50786
0.24000000000000002,461,237148,46105,12,0.8374593798241966,0.009899926985354121,0.9746300211416491,0.019600756818809923,46165,46225,46345
0.25,460,240970,42283,13,0.8509265981968519,0.010761996116323141,0.9725158562367865,0.021288411699370603,42348,42413,42543
0.26,458,244306,38947,15,0.8626773718305689,0.011622890496129933,0.9682875264270613,0.02297005867897086,39022,39097,39247
0.27,457,247317,35936,16,0.8732861986564502,0.012557359931855028,0.9661733615221987,0.024792491726794336,36016,36096,36256
0.28,457,250072,33181,16,0.8829962710502386,0.013585825554432487,0.9661733615221987,0.026794875553340567,33261,33341,33501
0.29000000000000004,455,252635,30618,18,0.8920225851701994,0.014642937598558234,0.9619450317124736,0.028846763456539658,30708,30798,30978
0.3,451,255127,28126,22,0.9007916088056788,0.015781922525107604,0.9534883720930233,0.031049913941480205,28236,28346,28566
0.31,448,257448,25805,25,0.9089614628197628,0.017064716413362283,0.9471458773784355,0.033525405971712934,25930,26055,26305
0.32,447,259699,23554,26,0.9168916489852886,0.018624223990667054,0.945031712473573,0.03652856092179455,23684,23814,24074
0.33,447,261781,21472,26,0.9242297145837886,0.020393266116154933,0.945031712473573,0.03992497320471597,21602,21732,21992
0.34,447,263640,19613,26,0.9307818106201053,0.022283150548354936,0.945031712473573,0.04353966785175084,19743,19873,20133
0.35000000000000003,442,265272,17981,31,0.9365162163495767,0.023991749443630243,0.9344608879492601,0.046782387806943264,18136,18291,18601
0.36000000000000004,440,266755,16498,33,0.9417360411100851,0.02597709292714606,0.9302325581395349,0.05054276032393314,16663,16828,17158
0.37,440,268091,15162,33,0.9464448094288151,0.028201512626586336,0.9302325581395349,0.05474339035769829,15327,15492,15822
0.38,440,269298,13955,33,0.9506989137407217,0.0305661688086141,0.9302325581395349,0.05918751681463545,14120,14285,14615
0.39,439,270378,12875,34,0.9545018785729894,0.03297281057533424,0.9281183932346723,0.06368317980706463,13045,13215,13555
0.4,436,271290,11963,37,0.9577056737838618,0.03516412613920478,0.9217758985200846,0.06774394033561218,12148,12333,12703
0.41000000000000003,435,272083,11170,38,0.960497099314127,0.037483843171046964,0.919661733615222,0.07203179334326876,11360,11550,11930
0.42000000000000004,434,272828,10425,39,0.9631193475395275,0.03996684777603831,0.9175475687103594,0.07659724673490999,10620,10815,11205
0.43,434,273481,9772,39,0.9654208637911225,0.04252400548696845,0.9175475687103594,0.08128101882198707,9967,10162,10552
