case_group,mean_value,median_value,std_value,feature
FN,0.38928793689299335,0.3509584429652888,0.553544837287942,V4
FP,-0.7185041721098556,-0.6204171992822244,0.665783824240481,V4
TN,-0.7597599200907929,-0.6612426842771274,0.6768768559747053,V4
TP,0.8050249451986835,0.753199857748193,0.6854851312586061,V4
FN,-0.4599126507876038,-0.5951890955924055,0.6632698914182863,V14
FP,0.7903455230598427,0.7252218831383035,0.5057629019598321,V14
TN,0.8265188540782247,0.7371952587827623,0.5809768478909154,V14
TP,-0.8745268139413619,-0.9355649437870917,0.6138072210043891,V14
FN,-0.36656242021390534,-0.503001410237195,0.6679446203025324,V12
FP,0.7561955302440259,0.7016936017518713,0.5691834871194672,V12
TN,0.7854289376979574,0.7246232551661553,0.6180510358452517,V12
TP,-0.848641225535663,-0.8978621830532298,0.6602572213783235,V12
FN,-0.2149963587058007,-0.29743933852935917,0.6794932562691928,V10
FP,0.6668620279834443,0.5597887457762061,0.6010946454297031,V10
TN,0.6829213336543678,0.5604884394278283,0.6969184518218112,V10
TP,-0.7650091661010222,-0.6643497712179579,0.8192567299797329,V10
FN,0.31046893469659875,0.39838179911551097,0.6792215972200242,V11
FP,-0.722588680332656,-0.628989888795628,0.6395364627668285,V11
TN,-0.7265768869934213,-0.6271010826798991,0.6500953661807592,V11
TP,0.8066884949565128,0.8143508279163222,0.714183319365996,V11
FN,11.063342297516272,9.428621327798922,8.31354360391776,Amount_z
FP,67.85608182804717,67.96567715944332,16.19213268066263,Amount_z
TN,20.21693665096059,20.096994781051443,11.959478260224522,Amount_z
TP,55.1163992318054,55.73028464257606,24.02221930821636,Amount_z
