scaler,threshold,accuracy,precision,recall,f1,tp,tn,fp,fn,roc_auc,pr_auc,fold,fold_threshold,train_seconds
standard,0.9600000000000001,0.9989955239135798,0.6532258064516129,0.8526315789473684,0.7397260273972602,81,56608,43,14,0.978569059495396,0.734085755886841,1,0.9600000000000001,1.4230611999955727
standard,0.91,0.9987135657138829,0.5785714285714286,0.8526315789473684,0.6893617021276596,81,56592,59,14,0.9846857350964214,0.7133294996192038,2,0.91,1.4431977999920491
standard,0.81,0.9952243329926338,0.23964497041420119,0.8526315789473684,0.3741339491916859,81,56394,257,14,0.9667883411729621,0.6814880712635715,3,0.81,1.5312244999950053
standard,0.74,0.9920872691385874,0.1553398058252427,0.851063829787234,0.2627257799671593,80,56215,435,14,0.9937122307562299,0.7017857529809842,4,0.74,1.4303808999975445
standard,0.73,0.9910122656139856,0.1388888888888889,0.851063829787234,0.23880597014925373,80,56154,496,14,0.9713167827834219,0.7275423719053449,5,0.73,1.4150425999978324
minmax,0.44,0.9977267120149438,0.413265306122449,0.8526315789473684,0.5567010309278351,81,56536,115,14,0.9544295682986039,0.7357720402186171,1,0.44,1.4613024999998743
minmax,0.41000000000000003,0.9732844605787192,0.05454545454545454,0.9157894736842105,0.1029585798816568,87,55143,1508,8,0.968748263838888,0.7220967275892851,2,0.41000000000000003,1.478521199998795
minmax,0.41000000000000003,0.9856377542029394,0.09183673469387756,0.8526315789473684,0.16581371545547596,81,55850,801,14,0.9695814353627799,0.6868738722800252,3,0.41000000000000003,1.4672406000026967
minmax,0.4,0.9690539968983505,0.044906900328587074,0.8723404255319149,0.08541666666666665,82,54906,1744,12,0.95858406414903,0.6633459828327912,4,0.4,1.4444977000093786
minmax,0.41000000000000003,0.947518680389116,0.02690288713910761,0.8723404255319149,0.052196053469127944,82,53684,2966,12,0.9538431203169895,0.7130130841245372,5,0.41000000000000003,1.247821600001771
