threshold,accuracy,precision,recall,f1,tp,tn,fp,fn
0.01,0.0027632293127876897,0.00166893071996895,1.0,0.0033323000619962804,473,311,282942,0
0.02,0.004282300529383983,0.0016714725920900122,1.0,0.0033373668669321975,473,742,282511,0
0.03,0.006707175232442568,0.0016755462351574235,1.0,0.0033454869522472406,473,1430,281823,0
0.04,0.010735709804529722,0.001682358004360615,1.0,0.0033590648590684103,473,2573,280680,0
0.05,0.017552145379697313,0.0016940107943943642,1.0,0.003382291949716116,473,4507,278746,0
0.060000000000000005,0.030007824450349985,0.001715726281807135,1.0,0.003425575214188979,473,8041,275212,0
0.06999999999999999,0.052529553160443526,0.0017527377243374317,0.9978858350951374,0.0034993290481380155,472,14432,268821,1
0.08,0.08819776826938666,0.0018173329577769117,0.9957716701902748,0.003628044553311457,471,24553,258700,2
0.09,0.13790417515490297,0.0019219155499698042,0.9957716701902748,0.0038364265031094603,471,38656,244597,2
0.09999999999999999,0.20544468959489084,0.0020805389923993925,0.9936575052854123,0.004152383644909354,470,57820,225433,3
0.11,0.28322043097918415,0.002300891902234171,0.9915433403805497,0.004591130015124298,469,79888,203365,4
0.12,0.3632201490170094,0.00258921473368077,0.9915433403805497,0.005164942266077121,469,102586,180667,4
0.13,0.4359135222009967,0.0029219181239915023,0.9915433403805497,0.0058266660040749395,469,123211,160042,4
0.14,0.5001621282504952,0.0032962707861851816,0.9915433403805497,0.00657069804910511,469,141440,141813,4
0.15000000000000002,0.5550742617877812,0.0036937647987371745,0.9894291754756871,0.007360052841405016,468,157021,126232,5
0.16,0.6046714083305724,0.004146467067994957,0.9873150105708245,0.008258251620261895,467,171094,112159,6
0.17,0.6495280658099716,0.0046747214686833705,0.9873150105708245,0.009305383971625553,467,183821,99432,6
0.18000000000000002,0.6894997286114067,0.005217509147580973,0.9767441860465116,0.010379573359095045,462,195167,88086,11
0.19,0.7246815589688643,0.00588040628261589,0.9767441860465116,0.011690431306064097,462,205149,78104,11
0.2,0.7548197909250474,0.006584491451587562,0.9746300211416491,0.013080611752688476,461,213701,69552,12
0.21000000000000002,0.7807638355314634,0.007342378292098962,0.9725158562367865,0.014574719199024127,460,221063,62190,13
0.22,0.8027991794900714,0.008138875097524647,0.9704016913319239,0.01614236227118465,459,227316,55937,14
0.23,0.8213276188999246,0.008956332987856152,0.9682875264270613,0.01774849835303236,458,232574,50679,15
0.24000000000000002,0.83709282899699,0.009793836526509794,0.9661733615221987,0.019391110639652067,457,237048,46205,16
0.25,0.8508948774521898,0.010645266950540452,0.9619450317124736,0.021057503181765594,455,240966,42287,18
0.26,0.8629699075868972,0.011572896530674535,0.9619450317124736,0.02287064263992561,455,244392,38861,18
0.27,0.8737549607720124,0.012468965517241378,0.9556025369978859,0.024616725213081714,452,247455,35798,21
0.28,0.8834615086386162,0.013465098226548039,0.9534883720930233,0.02655518591574175,451,250210,33043,22
0.29000000000000004,0.892914290547923,0.014605647517039922,0.9513742071881607,0.028769619282038167,450,252893,30360,23
0.3,0.9016128236397087,0.015774985883681536,0.945031712473573,0.031031969176299072,447,255364,27889,26
0.31,0.9096769418382524,0.017012288786482335,0.9365750528541226,0.033417568739863464,443,257656,25597,30
0.32,0.9172828715027879,0.018509212730318258,0.9344608879492601,0.036299429228431816,442,259815,23438,31
0.33,0.9243812692527298,0.02003842986549547,0.9260042283298098,0.039227979042586535,438,261833,21420,35
0.34,0.9307148446035964,0.021785732090333517,0.9238900634249472,0.04256769920124684,437,263631,19622,36
0.35000000000000003,0.9362659749194645,0.023590520506438697,0.9217758985200846,0.04600369295700343,436,265207,18046,37
